200,316,404,392,500,135
432,129,200,456,181,499
164,389,200,74,11,324
150,200,456,202,324,74
164,11,200,93,389,181
200,392,500,316,47
47,200,415,186,324,328
11,200,164,389,441,444
150,226,392,200,465,316
200,97,392,456,351,500
391,200,324,164,199,328
200,500,392,181,97,316
164,3,150,451,199,200
200,12,456,404,181,135
200,316,12,500,181,199
500,200,164,135,404,392
117,392,250,461,424,135
97,200,392,74,316,465
389,392,200,73,164,316
328,172,37,327,164,200
200,97,316,369,177,445
200,392,327,135,97,500
200,389,316,500,129,392
391,150,247,200,370,316
200,392,500,316,47
200,150,500,129,351,316
164,11,200,316,181,389
392,200,500,364,199,135
200,316,92,135,392,429
200,316,465,135,328,97
200,181,316,129,500,135
199,200,164,181,500,11
200,500,164,316,392,441
200,316,322,181,135,261
117,465,200,328,115,97
216,135,200,402,12,46
392,200,250,500,456,316
200,392,74,500,181,150
82,200,172,316,345,389
11,389,186,82,97,200
200,392,404,316,500,135
200,81,135,392,406,372
392,74,328,316,200,164
200,500,129,389,392,164
432,392,129,82,500,200
200,328,150,500,164,392
500,200,456,392,158,316
392,97,461,216,199,356
200,186,279,316,500,392
200,62,392,164,456,97
500,156,200,181,316,12
328,47,164,307,177,389
200,392,500,316,47
164,200,328,199,74,316
200,456,115,316,129,392
200,392,474,500,181,351
200,181,500,316,456,129
392,97,465,369,140,104
391,500,200,164,316,181
200,392,500,316,47
200,392,39,315,316,374
328,200,199,500,261,392
200,392,199,186,500,95
200,97,500,82,392,135
200,74,392,150,181,12
200,328,324,392,164,11
200,164,95,456,392,3
47,499,181,500,402,200
200,392,500,316,47
11,82,316,88,339,189
200,12,500,164,392,199
391,200,181,500,392,316
47,74,150,164,200,500
200,74,82,324,374,37
200,392,250,404,150,129
200,456,97,186,328,164
129,391,200,351,392,316
392,328,316,456,500,200
200,135,316,500,150,392
200,135,129,316,3,392
47,316,181,200,27,335
200,257,327,135,351,43
200,44,500,135,316,164
97,339,200,404,95,392
391,392,322,133,90,456
200,129,186,324,93,392
150,26,500,129,380,164
11,164,3,389,324,186
402,200,406,60,398,129
150,404,200,456,351,164
200,316,500,247,474,456
200,212,364,461,328,324
316,200,500,135,150,129
200,257,47,7,59,164
200,392,500,316,47
200,150,164,389,263,129
200,392,500,316,47
316,328,381,200,164,500
200,392,316,135,82,181
404,164,200,11,389,199
200,392,500,199,164,129
133,260,200,397,150,202
200,500,351,392,135,81
200,164,398,324,389,181
200,392,500,316,47
216,97,120,484,345,164
200,97,335,465,303,445
200,392,500,316,47
11,404,164,135,316,200
200,95,150,328,500,456
200,392,500,316,47
200,47,351,316,392,164
432,391,200,181,392,456
200,500,456,199,328,499
200,456,500,77,307,199
200,199,389,398,372,316
200,135,351,164,316,500
404,392,200,316,250,129
47,500,186,12,52,88
392,199,135,328,274,200
200,392,500,316,47
328,391,392,389,200,164
391,150,200,392,403,316
500,316,200,181,135,392
200,392,500,316,47
200,500,164,392,316,257
392,200,328,351,135,482
404,322,135,200,316,164
212,31,85,408,150,200
200,364,157,316,150,500
200,97,150,500,456,247
47,200,116,328,164,181
451,37,215,177,164,328
95,392,200,500,316,135
200,97,328,391,392,39
200,316,500,351,135,150
392,200,140,3,164,316
226,76,500,323,422,328
200,150,461,456,392,500
328,200,164,135,181,456
200,164,95,97,324,441
200,500,351,392,181,316
328,199,432,47,200,465
200,482,39,500,316,164
200,181,398,279,135,500
200,392,135,500,432,406
164,392,328,429,200,335
199,200,47,328,500,389
200,328,392,199,500,39
186,47,200,316,181,392
135,391,200,316,324,181
11,164,389,3,200,392
