404,200,476,316,392,192
432,129,200,47,316,76
200,164,426,156,316,12
150,74,26,202,205,200
11,200,93,426,164,328
200,441,177,392,50,11
200,344,324,328,335,47
12,200,324,444,186,345
226,135,392,120,150,37
200,97,500,392,82,316
324,164,327,200,391,221
200,212,500,97,181,392
451,164,3,200,391,199
200,12,465,8,489,303
200,500,26,199,156,47
200,500,175,451,453,316
250,221,200,474,199,461
27,327,278,97,200,304
389,200,372,398,344,392
164,39,37,327,328,150
200,327,11,505,392,369
200,392,135,239,12,327
200,389,279,404,11,316
200,364,500,247,150,324
200,441,177,392,50,11
200,150,392,441,455,316
164,11,200,135,16,335
200,392,500,324,199,156
200,316,92,11,42,404
200,429,316,328,199,386
200,199,459,37,316,307
199,200,345,47,178,392
441,500,200,392,135,9
200,392,459,307,406,247
117,465,41,200,457,115
391,216,324,59,48,115
200,392,250,406,328,12
500,200,392,396,269,214
200,82,124,392,406,441
82,257,11,186,468,316
200,392,404,500,38,199
200,339,316,380,391,404
312,392,328,200,133,74
200,297,247,129,500,150
129,432,392,226,500,200
200,328,150,500,186,499
500,135,175,200,199,351
392,200,362,328,12,432
200,494,316,186,395,351
62,392,11,344,200,461
156,275,500,200,392,404
47,389,328,150,200,307
200,441,177,392,50,11
164,391,404,200,199,157
200,391,461,322,364,115
392,200,351,192,474,254
200,422,458,365,392,47
200,104,328,465,369,120
391,500,200,404,47,186
200,441,177,392,50,11
200,12,47,374,216,39
328,200,389,199,261,364
200,392,199,97,186,129
135,82,417,200,465,97
200,392,12,212,344,316
200,324,250,328,11,175
200,3,95,82,500,164
47,282,499,200,339,186
200,441,177,392,50,11
11,82,189,45,339,428
12,200,316,26,135,150
391,275,200,316,129,456
74,47,150,438,200,39
200,123,324,74,391,164
200,392,404,474,250,456
200,322,456,97,74,274
391,110,129,47,92,172
392,200,351,500,316,250
200,8,135,316,12,71
200,47,135,129,239,351
47,406,200,164,115,74
200,327,135,389,257,456
44,182,20,47,31,463
200,499,494,97,247,95
157,391,322,318,200,133
