2,391,"2012-12-27 20:47:30.610",GB
9,432,"2012-07-28 20:41:22.920",GB
15,391,"2012-07-03 19:19:33.257",RS
19,200,"2012-05-30 21:59:56.053",GB
25,11,"2012-07-24 17:56:44.940",GB
26,344,"2012-11-25 22:44:53.673",NO
30,432,"2012-06-16 14:03:44.257",GB
31,200,"2012-08-20 12:13:59.320",GB
37,200,"2012-08-03 13:18:20.110",GB
53,200,"2013-02-14 13:40:04.707",GB
59,200,"2012-06-22 19:09:03.987",GB
75,82,"2012-07-11 18:09:38.613",GB
79,51,"2012-06-24 17:52:40.520",GB
80,200,"2012-07-04 18:28:45.990",GB
103,97,"2012-07-09 21:52:02.000",GB
112,175,"2012-07-26 08:04:30.500",GB
113,200,"2012-04-11 21:15:06.673",NO
114,24,"2012-09-18 17:21:34.457",GB
118,344,"2012-08-03 00:26:11.050",GB
122,392,"2012-05-10 18:01:27.610",DE
123,200,"2012-05-20 16:21:15.673",GB
149,306,"2012-04-28 11:46:56.213",HR
150,300,"2012-08-31 10:14:05.647",GB
154,389,"2012-08-05 22:15:19.913",GB
158,164,"2012-04-05 14:29:14.957",GB
165,369,"2012-12-29 10:07:54.990",GB
167,257,"2012-05-10 21:58:00.687",GB
169,417,"2012-10-28 18:07:51.077",GB
174,316,"2012-05-28 00:59:35.587",DK
175,200,"2012-11-15 22:27:34.883",GB
177,3,"2012-09-17 12:35:01.720",GB
179,47,"2012-11-04 17:51:50.950",DE
181,250,"2012-08-13 09:21:46.323",GB
197,200,"2012-09-26 08:04:03.527",GB
206,122,"2012-07-16 11:56:23.370",GB
209,200,"2012-05-18 23:07:28.520",GB
214,200,"2012-05-07 20:10:27.890",NO
224,8,"2012-07-10 18:29:36.733",GB
231,200,"2012-09-09 14:28:29.580",GB
239,261,"2012-08-22 12:03:56.790",CN
246,200,"2012-09-03 12:05:17.230",GB
247,74,"2012-11-14 19:02:52.030",IE
263,275,"2012-05-21 21:42:14.953",FR
281,200,"2012-06-14 15:45:39.493",ES
295,150,"2012-07-21 13:34:56.843",GB
312,200,"2013-06-06 17:24:57.457",GB
315,434,"2012-09-02 16:45:35.773",GB
318,200,"2012-09-21 13:52:57.303",US
322,200,"2012-07-26 14:49:58.757",ES
324,387,"2012-11-15 20:11:30.050",GB
329,200,"2012-07-28 17:40:33.353",GB
331,172,"2012-04-22 17:57:53.773",GB
335,4,"2012-08-27 09:59:25.123",NO
336,200,"2012-04-10 23:16:35.913",ES
341,25,"2012-06-29 00:26:52.980",DE
343,200,"2012-07-23 14:18:29.193",HU
346,500,"2012-07-16 09:01:23.247",GB
347,257,"2012-11-22 12:30:59.570",GB
351,432,"2012-07-01 17:17:56.247",GB
377,47,"2012-08-13 21:43:35.047",GB
404,25,"2012-04-28 20:47:17.000",DE
412,265,"2012-11-06 09:47:12.933",GB
423,2,"2012-07-23 13:38:39.483",DK
425,389,"2012-04-28 20:46:00.437",GB
431,200,"2013-01-01 11:34:48.363",DK
433,47,"2012-04-28 15:51:21.417",ES
438,150,"2012-11-15 16:41:39.467",GB
443,250,"2012-10-01 15:58:24.393",GB
448,41,"2012-06-13 12:57:48.477",GB
460,200,"2012-11-24 17:35:29.160",GB
461,200,"2012-09-30 15:08:41.973",GB
472,44,"2012-04-02 13:53:19.303",GB
473,278,"2012-10-22 15:35:39.557",GB
474,200,"2012-05-01 21:23:15.473",US
481,73,"2012-05-10 09:54:43.903",BG
482,186,"2012-10-13 16:45:32.967",FR
483,200,"2012-11-11 11:12:25.523",GB
487,434,"2012-08-31 15:06:30.080",GB
488,432,"2012-07-27 19:25:43.927",GB
489,200,"2012-06-02 15:15:43.247",GB
491,228,"2012-07-27 11:34:14.533",ES
495,200,"2012-04-11 10:22:00.517",GB
498,200,"2012-04-19 20:38:28.747",HR
505,129,"2012-09-25 20:51:32.650",AU
509,432,"2012-06-22 20:51:33.903",GB
510,200,"2012-08-07 17:40:16.773",GB
527,200,"2012-04-03 22:18:23.267",GB
535,380,"2012-07-03 20:38:18.503",GB
539,338,"2012-07-31 15:03:51.653",IT
545,432,"2012-07-12 13:05:38.477",GB
550,129,"2012-06-05 22:12:15.553",GB
551,175,"2012-08-11 13:46:35.267",DK
557,438,"2012-05-18 12:44:26.900",GB
560,175,"2012-06-22 13:20:20.613",GB
565,392,"2012-05-25 13:36:37.227",AU
566,125,"2012-08-27 19:24:12.337",GB
568,97,"2012-08-25 12:35:17.357",GB
572,150,"2012-11-16 23:13:46.763",GB
573,168,"2012-05-15 19:37:47.463",GB
577,200,"2012-04-06 13:25:42.890",SE
581,200,"2012-07-16 19:37:18.173",GB
584,200,"2012-05-29 10:51:54.737",GB
588,432,"2013-05-16 18:59:36.673",GB
590,494,"2013-04-27 13:00:22.603",GB
597,11,"2012-11-22 11:32:57.527",GB
601,200,"2012-08-21 22:24:09.850",IE
613,200,"2012-09-28 12:31:42.723",GB
615,200,"2012-08-29 16:09:33.790",GB
623,164,"2012-07-03 11:05:54.890",RU
628,200,"2012-11-18 22:45:49.187",GB
631,200,"2012-04-21 13:44:58.727",AU
646,200,"2012-04-11 13:27:49.030",GB
647,3,"2012-04-01 13:27:15.203",GB
650,200,"2012-04-20 17:10:55.340",SE
651,500,"2013-04-26 11:57:35.243",GB
656,200,"2012-07-10 18:02:48.597",GB
660,11,"2012-09-25 16:47:52.353",GB
666,316,"2012-05-24 23:44:47.467",FR
675,389,"2012-05-27 15:05:02.503",GB
683,402,"2012-09-21 14:24:32.377",GB
685,47,"2012-04-13 11:14:10.697",GB
689,200,"2012-04-11 09:35:51.593",GB
698,47,"2012-09-02 12:47:08.943",GB
699,200,"2012-07-18 23:33:27.990",GB
707,404,"2012-10-09 19:56:56.297",IE
711,200,"2012-06-17 23:17:04.850",GB
723,300,"2012-04-21 21:41:24.093",GB
726,186,"2012-05-03 11:54:31.997",GB
727,200,"2012-09-25 15:12:22.050",GB
740,11,"2012-10-31 19:00:37.180",GB
746,404,"2012-08-28 12:54:33.187",GB
747,433,"2012-04-28 15:21:32.293",IE
753,150,"2012-09-18 09:20:06.677",GB
755,404,"2012-06-21 02:46:03.633",GB
761,47,"2012-08-20 12:30:21.533",GB
767,398,"2012-05-29 21:41:24.670",GB
769,95,"2012-04-26 10:44:36.570",GH
771,404,"2012-05-23 18:03:04.913",GB
772,200,"2012-11-06 17:53:32.780",NO
775,47,"2012-08-28 14:45:51.077",GB
782,200,"2012-11-16 16:50:46.050",GB
784,200,"2012-06-13 22:00:48.927",GB
787,391,"2012-04-24 21:44:53.790",GB
789,391,"2013-06-04 17:19:25.633",GB
791,500,"2012-07-30 16:17:09.230",GB
792,200,"2013-03-12 01:13:04.617",GB
793,200,"2012-11-26 08:45:09.400",GB
800,200,"2013-01-01 20:01:13.600",GB
803,500,"2013-05-13 21:33:23.643",NO
804,349,"2012-04-27 11:10:25.073",GB
806,129,"2012-05-10 15:52:06.247",GB
816,200,"2012-09-01 14:49:13.410",GB
824,175,"2012-05-29 13:50:48.757",GB
827,432,"2012-05-22 21:34:45.080",BE
829,406,"2012-04-21 10:33:10.877",GB
832,500,"2012-09-25 19:23:30.193",GB
835,434,"2012-07-18 11:44:22.080",GB
838,432,"2013-07-09 12:58:13.957",SE
843,200,"2013-01-07 17:15:43.190",GB
846,404,"2012-07-20 18:05:14.360",GB
